,ID,IMG,IMG_TO_PXL_AR,CATEGORY,CODE
0,0,008c06b6-0131-4a30-ac81-71a0c81e56de.jpg,[[255 255 255 ... 255 255 255]],radio_button_unchecked,14
1,1,00e6f0e5-ac33-4716-b2f0-eb7bd7166475.jpg,[[255 255 255 ... 255 255 255]],radio_button_unchecked,14
2,2,0172b8d2-5919-4540-9c11-2fb11f988c13.jpg,[[255 255 255 ... 255 255 255]],radio_button_unchecked,14
3,3,018a926c-db07-4fd8-8ba7-45a5396abb2a.jpg,[[255 255 255 ... 255 255 255]],radio_button_unchecked,14
4,4,01f4ec01-0f73-4cc9-89e1-2bb43a3f15ba.jpg,[[255 255 255 ... 255 255 255]],radio_button_unchecked,14
5,5,020f6ffa-c711-4256-90a7-8b7d92bd9829.jpg,[[255 255 255 ... 255 255 255]],radio_button_unchecked,14
6,6,022e3e6d-57a9-4615-9eb3-51fbfb7ccea0.jpg,[[255 255 255 ... 255 255 255]],radio_button_unchecked,14
7,7,026d567b-ec75-415d-a64c-e9aa2d6ab73a.jpg,[[255 255 255 ... 255 255 255]],radio_button_unchecked,14
8,8,02d22389-44b2-4547-9c6b-bc1649de5dd0.jpg,[[255 255 255 ... 255 255 255]],radio_button_unchecked,14
9,9,03012068-9938-4414-b847-4574c342326b.jpg,[[255 255 255 ... 255 255 255]],radio_button_unchecked,14
10,10,044cc945-ffa4-4ba7-9616-f4a83ada7ebe.jpg,[[255 255 255 ... 255 255 255]],radio_button_unchecked,14
11,11,044f7eaa-547d-48e1-b7b2-f29d560480ed.jpg,[[255 255 255 ... 255 255 255]],radio_button_unchecked,14
12,12,04dc633f-3288-4803-bdb7-1636a2c5dbb6.jpg,[[255 255 255 ... 255 255 255]],radio_button_unchecked,14
13,13,0535853b-8999-4cde-9c12-2ac9dc9b7a19.jpg,[[255 255 255 ... 255 255 255]],radio_button_unchecked,14
14,14,0558c1ce-be26-465f-9a88-c408813ef27b.jpg,[[255 255 255 ... 255 255 255]],radio_button_unchecked,14
15,15,0560075e-7f6f-440f-8a4e-8286199c90a9.jpg,[[255 255 255 ... 255 255 255]],radio_button_unchecked,14
